venue,win_by_runs,win_by_wickets,matches_played,venue_category
"Senwes Park, Potchefstroom",0.0,5.833333333333333,6,Bowling-Friendly
"Shaheed Veer Narayan Singh International Stadium, Raipur",10.0,4.0,2,Balanced
Sharjah Cricket Stadium,19.49090909090909,3.5636363636363635,55,Balanced
Sheikh Abu Naser Stadium,18.2,0.8,5,Balanced
Sheikh Kamal International Cricket Stadium,47.0,4.0,2,Balanced
Sheikh Zayed Stadium,32.529411764705884,2.803921568627451,51,Batting-Friendly
"Sheikh Zayed Stadium, Abu Dhabi",10.88888888888889,2.111111111111111,9,Balanced
Sher-e-Bangla National Cricket Stadium,103.0,0.0,1,Batting-Friendly
Shere Bangla National Stadium,35.94444444444444,3.0,36,Balanced
"Shere Bangla National Stadium, Mirpur",33.394366197183096,2.830985915492957,71,Batting-Friendly
"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",0.0,7.0,1,Bowling-Friendly
"Sikh Union Club Ground, Nairobi",19.4375,2.5,16,Balanced
"Simar Cricket Ground, Rome",25.58333333333333,2.583333333333333,12,Balanced
"Simonds Stadium, South Geelong",4.0,1.0,2,Balanced
Singapore National Cricket Ground,9.529411764705882,3.235294117647059,17,Balanced
Sinhalese Sports Club Ground,64.4,2.0,10,Batting-Friendly
"Sinhalese Sports Club Ground, Colombo",64.8,2.6,5,Batting-Friendly
Sir Vivian Richards Stadium,36.5,3.0,6,Balanced
"Sir Vivian Richards Stadium, Antigua",74.2,4.8,5,Balanced
"Sir Vivian Richards Stadium, North Sound",31.3,2.0,10,Batting-Friendly
"Sir Vivian Richards Stadium, North Sound, Antigua",23.047619047619047,3.1904761904761907,42,Balanced
Sky Stadium,16.0,3.5,2,Balanced
"Sky Stadium, Wellington",0.0,6.0,1,Bowling-Friendly
"Solvangs Park, Glostrup",0.0,3.5,2,Balanced
Sophia Gardens,36.4,3.1333333333333333,15,Balanced
"Sophia Gardens, Cardiff",9.666666666666666,5.5,6,Bowling-Friendly
Southend Club Cricket Stadium,24.33333333333333,1.0,6,Balanced
"Southend Club Cricket Stadium, Karachi",27.666666666666668,4.166666666666667,6,Balanced
"Sportpark Harga, Schiedam",54.66666666666666,2.6666666666666665,3,Batting-Friendly
Sportpark Het Schootsveld,21.428571428571427,2.2142857142857144,14,Balanced
"Sportpark Het Schootsveld, Deventer",2.0,5.6,5,Bowling-Friendly
Sportpark Maarschalkerweerd,5.2,5.7,10,Bowling-Friendly
"Sportpark Maarschalkerweerd, Utrecht",21.13636363636364,3.0,22,Balanced
